"filename", "language", "JavaScript", "JSON", "Properties", "comment", "blank", "total"
"e:\Edugyan\2 ongoing\BME\backend\.env", "Properties", 0, 0, 8, 0, 8, 16
"e:\Edugyan\2 ongoing\BME\backend\config\dbConnect.js", "JavaScript", 10, 0, 0, 0, 2, 12
"e:\Edugyan\2 ongoing\BME\backend\config\jwtToken.js", "JavaScript", 5, 0, 0, 0, 2, 7
"e:\Edugyan\2 ongoing\BME\backend\config\refreshToken.js", "JavaScript", 5, 0, 0, 0, 2, 7
"e:\Edugyan\2 ongoing\BME\backend\controller\blogCatCtrl.js", "JavaScript", 58, 0, 0, 0, 6, 64
"e:\Edugyan\2 ongoing\BME\backend\controller\blogCtrl.js", "JavaScript", 160, 0, 0, 8, 11, 179
"e:\Edugyan\2 ongoing\BME\backend\controller\brandCtrl.js", "JavaScript", 50, 0, 0, 0, 7, 57
"e:\Edugyan\2 ongoing\BME\backend\controller\colorCtrl.js", "JavaScript", 52, 0, 0, 0, 9, 61
"e:\Edugyan\2 ongoing\BME\backend\controller\couponCtrl.js", "JavaScript", 59, 0, 0, 0, 7, 66
"e:\Edugyan\2 ongoing\BME\backend\controller\emailCtrl.js", "JavaScript", 24, 0, 0, 3, 5, 32
"e:\Edugyan\2 ongoing\BME\backend\controller\enqCtrl.js", "JavaScript", 58, 0, 0, 0, 7, 65
"e:\Edugyan\2 ongoing\BME\backend\controller\prodcategoryCtrl.js", "JavaScript", 58, 0, 0, 0, 7, 65
"e:\Edugyan\2 ongoing\BME\backend\controller\productCtrl.js", "JavaScript", 183, 0, 0, 4, 18, 205
"e:\Edugyan\2 ongoing\BME\backend\controller\uploadCtrl.js", "JavaScript", 40, 0, 0, 41, 25, 106
"e:\Edugyan\2 ongoing\BME\backend\controller\userCtrl.js", "JavaScript", 484, 0, 0, 11, 48, 543
"e:\Edugyan\2 ongoing\BME\backend\index.js", "JavaScript", 41, 0, 0, 0, 3, 44
"e:\Edugyan\2 ongoing\BME\backend\middlewares\authMiddleware.js", "JavaScript", 32, 0, 0, 0, 3, 35
"e:\Edugyan\2 ongoing\BME\backend\middlewares\errorHandler.js", "JavaScript", 14, 0, 0, 2, 4, 20
"e:\Edugyan\2 ongoing\BME\backend\middlewares\uploadImage.js", "JavaScript", 54, 0, 0, 17, 18, 89
"e:\Edugyan\2 ongoing\BME\backend\models\blogCatModel.js", "JavaScript", 15, 0, 0, 2, 3, 20
"e:\Edugyan\2 ongoing\BME\backend\models\blogModel.js", "JavaScript", 56, 0, 0, 2, 4, 62
"e:\Edugyan\2 ongoing\BME\backend\models\brandModel.js", "JavaScript", 10, 0, 0, 2, 3, 15
"e:\Edugyan\2 ongoing\BME\backend\models\cartModel.js", "JavaScript", 29, 0, 0, 2, 3, 34
"e:\Edugyan\2 ongoing\BME\backend\models\colorModel.js", "JavaScript", 15, 0, 0, 2, 3, 20
"e:\Edugyan\2 ongoing\BME\backend\models\couponModel.js", "JavaScript", 18, 0, 0, 2, 3, 23
"e:\Edugyan\2 ongoing\BME\backend\models\enqModel.js", "JavaScript", 25, 0, 0, 0, 4, 29
"e:\Edugyan\2 ongoing\BME\backend\models\orderModel.js", "JavaScript", 56, 0, 0, 2, 3, 61
"e:\Edugyan\2 ongoing\BME\backend\models\prodcategoryModel.js", "JavaScript", 15, 0, 0, 2, 2, 19
"e:\Edugyan\2 ongoing\BME\backend\models\productModel.js", "JavaScript", 61, 0, 0, 2, 3, 66
"e:\Edugyan\2 ongoing\BME\backend\models\userModel.js", "JavaScript", 75, 0, 0, 2, 4, 81
"e:\Edugyan\2 ongoing\BME\backend\package-lock.json", "JSON", 0, 2720, 0, 0, 1, 2721
"e:\Edugyan\2 ongoing\BME\backend\package.json", "JSON", 0, 34, 0, 0, 1, 35
"e:\Edugyan\2 ongoing\BME\backend\routes\authRoute.js", "JavaScript", 61, 0, 0, 0, 3, 64
"e:\Edugyan\2 ongoing\BME\backend\routes\blogCatRoute.js", "JavaScript", 10, 0, 0, 0, 2, 12
"e:\Edugyan\2 ongoing\BME\backend\routes\blogRoute.js", "JavaScript", 20, 0, 0, 0, 3, 23
"e:\Edugyan\2 ongoing\BME\backend\routes\brandRoute.js", "JavaScript", 10, 0, 0, 0, 4, 14
"e:\Edugyan\2 ongoing\BME\backend\routes\colorRoute.js", "JavaScript", 16, 0, 0, 0, 2, 18
"e:\Edugyan\2 ongoing\BME\backend\routes\couponRoute.js", "JavaScript", 16, 0, 0, 0, 3, 19
"e:\Edugyan\2 ongoing\BME\backend\routes\enqRoute.js", "JavaScript", 16, 0, 0, 0, 2, 18
"e:\Edugyan\2 ongoing\BME\backend\routes\prodcategoryRoute.js", "JavaScript", 16, 0, 0, 0, 3, 19
"e:\Edugyan\2 ongoing\BME\backend\routes\productRoute.js", "JavaScript", 20, 0, 0, 0, 4, 24
"e:\Edugyan\2 ongoing\BME\backend\routes\uploadRoute.js", "JavaScript", 15, 0, 0, 0, 6, 21
"e:\Edugyan\2 ongoing\BME\backend\utils\cloudinary.js", "JavaScript", 39, 0, 0, 0, 5, 44
"e:\Edugyan\2 ongoing\BME\backend\utils\validateMongodbId.js", "JavaScript", 6, 0, 0, 0, 0, 6
"Total", "-", 2007, 2754, 8, 106, 266, 5141
